lat,long
30.46787,79.594726
30.704353,79.501533
30.785202,79.49192
30.73977,79.494667
30.739179,79.493293
30.737999,79.492607
30.11392,78.308532
29.941499,78.13771
29.933812,78.136482
29.931432,78.137168
29.933217,78.141975
29.924291,78.129615
27.183799,77.994453
27.187769,78.000526
29.379819,79.468109
29.392046,79.450035
29.389055,79.450721
29.388457,79.452095
17.427631,78.470191
17.419115,78.472251
13.087809,79.668426
12.833999,79.697036
12.830882,79.699974
12.9558,77.620979
12.961401,77.589225
15.35023,74.013931
13.087809,79.668426
15.35023,74.013931
15.35023,74.013931
15.252719,74.626403
11.646183,92.740402
11.663668,92.740402
11.652908,92.721176
6.985149,93.846199
6.985149,93.846199
6.985149,93.846199
6.985149,93.846199
6.985149,93.846199
10.094809,77.057998
30.2525,120.165023
30.2525,120.165023
39.124801,27.1777
41.040851,28.986179
41.040851,28.986179
46.208351,6.1427
46.208351,6.1427
46.204547,6.15097
39.908682,116.385726
31.236875,121.489562
31.244654,121.432828
39.900255,116.387786
46.990341,6.931119
47.588531,11.31517
31.247709,121.472618
48.067039,11.03551
41.040851,28.986179
48.136409,11.57752
41.02197,28.974337
41.021646,28.974251
41.087799,31.1236
41.087799,31.1236
38.647059,34.845285
46.208351,6.1427
48.136409,11.57752
48.026699,11.084759
19.375555,-81.305
-34.634548,-58.35934
43.605739,1.44869
43.60364,1.442813
51.50632,-0.12714
51.50632,-0.12714
51.736809,-2.454757
51.735108,-2.444458
52.518619,-1.990219
52.521025,-1.994361
52.518619,-1.990219
52.710923,-2.737998
52.714641,-2.76267
52.104923,-2.084655
12.54773,104.983856
12.54773,104.983856
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
50.079078,14.433219
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.125869,16.866649
41.081108,16.08155
41.081108,16.08155
41.081108,16.08155
41.125869,16.866649
41.125869,16.866649
41.90311,12.495759
41.903839,12.452489
41.125869,16.866649
41.903839,12.452489
41.90311,12.495759
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.903839,12.452489
41.902439,12.45823
41.90311,12.495759
41.90311,12.495759
41.902439,12.45823
41.90311,12.495759
41.90311,12.495759
41.902439,12.45823
41.902439,12.45823
41.90311,12.495759
41.902439,12.45823
41.902439,12.45823
41.902439,12.45823
41.90311,12.495759
41.187229,16.671909
41.125869,16.866649
41.16262,16.749029
41.187229,16.671909
41.125869,16.866649
41.125869,16.866649
40.460074,-3.609545
40.624702,-3.174791
40.99441,-4.078159
40.397434,-3.655893
40.395195,-3.641817
40.480218,-3.683574
43.329548,-3.039522
40.416583,-3.704034
42.437425,-8.632271
40.434992,-3.470692
42.599029,-8.60856
40.632095,-3.221697
37.112693,-7.619447
39.474365,-0.381088
42.429031,-8.654351
38.843986,1.286773
38.984699,1.296257
32.071519,34.76348
32.070122,34.763511
32.068333,34.765197
32.072719,34.763638
32.070063,34.767827
32.070258,34.767697
32.070172,34.766244
32.070302,34.76663
32.070447,34.768052
31.316511,35.354683
31.316455,35.352702
31.317877,35.353883
31.313161,35.360605
31.316363,35.35268
31.316619,35.352786
31.389299,35.36124
31.318147,35.354158
31.317038,35.35298
31.317891,35.35403
31.317086,35.354413
32.6833,35.599998
31.316116,35.353019
31.31423,35.359561
32.6833,35.599998
32.6833,35.599998
32.6833,35.599998
32.6833,35.599998
32.6833,35.599998
32.6833,35.599998
31.312322,35.361577
31.316777,35.354697
31.206944,35.361291
31.14788,35.351208
31.389299,35.36124
31.389299,35.36124
31.389299,35.36124
31.389299,35.36124
31.389299,35.36124
32.078786,34.778761
32.170613,34.900816
32.17055,34.900744
32.071497,34.763994
32.070947,34.763827
32.071,34.763808
32.072277,34.76893
32.072197,34.769033
32.070319,34.76798
32.070336,34.768008
32.045101,34.76971
32.069116,34.763194
32.069263,34.763225
32.175047,34.800588
32.177963,34.801497
32.179836,34.802305
32.17853,34.801627
32.077775,34.774172
32.077408,34.774305
32.077786,34.774186
32.079819,34.780305
32.079763,34.780566
